note_id,type,cleaned_title,cleaned_desc,time,ip_location_x,liked_count_x,collected_count,comment_count,share_count,combined_text,processed,label_h
6786dcdc000000001801f4ba,normal,TikTok refugee,康康我的小红书新头像,2025/1/15 5:53,美国,9,0,6,0,TikTok refugee。康康我的小红书新头像,康康 小红书 头像,1.0
6787af3f000000001601bf35,video,真是佩服这群人宣传洋人的东西间谍一样,挂那些让人无语的,2025/1/15 20:51,美国,7,4,5,2,真是佩服这群人宣传洋人的东西间谍一样。挂那些让人无语的,佩服 宣传 洋人 东西 间谍,2.0
67887648000000001d010148,video,实际购买力美元人民币14 拿去对账,给大家算好了拿这个比例去找歪果仁对账吧 比如一个美国人年收入十万刀那么换算到中国实际购买力约四十个w软妹币 大家对完了能给我康康吗doge社恐搭不上老外 人民币购买力 fyp tiktokrefugee,2025/1/16 11:00,美国,6,4,10+,4,实际购买力美元人民币14 拿去对账。给大家算好了拿这个比例去找歪果仁对账吧 比如一个美国人年收入十万刀那么换算到中国实际购买力约四十个w软妹币 大家对完了能给我康康吗doge社恐搭不上老外 人民币购买力 fyp tiktokrefugee,购买力 人民币 对账 算好 比例 果仁 对账 美国 年收入 换算 中国 购买力 妹币 康康 老外 人民币 购买力,1.0
678ba8cc000000000a005af9,video,还在5块钱给老外起名普通人搞美金方法来了,书接上回外国朋友们来小红书搞的咱们流量都没有了哭惹R 必须反向内卷 赚Dollar得意R 别再给老外5块钱起名教汉语啦 教大家两个小恒研究出来的更好的方法dogedoge 外国人入驻小红书 跨境 tiktokrefugee 跨境电商 创业 流量,2025/1/18 21:12,美国,956,804,33,296,还在5块钱给老外起名普通人搞美金方法来了。书接上回外国朋友们来小红书搞的咱们流量都没有了哭惹R 必须反向内卷 赚Dollar得意R 别再给老外5块钱起名教汉语啦 教大家两个小恒研究出来的更好的方法dogedoge 外国人入驻小红书 跨境 tiktokrefugee 跨境电商 创业 流量,块钱 老外 起名 普通人 美金 方法 接上 外国 朋友 流量 反向 内卷 得意 老外 块钱 名教 汉语 小恒 研究 方法 外国人 入驻 小红书 跨境 跨境 电商 创业 流量,2.0
67864f67000000001800de20,normal,外国人涌入小红书这钱如何赚,1做产品想出海的现在是绝好的商机这两天 这个tag在疯狂飙升浏览量就在我和朋友今天一下午讨论的这两个小时浏览量直接增加了2000万 2海外网红入驻小红书需要我方链接如何运营如何操作都是要点如果你很擅长自媒体运营完全可以找中腰部的海外网红代做运营 3教TikTok用户学中文简单有趣的中文变身语言类博主不会的可以中式英语说不准不重要制造幽默也是很让人快乐的 4如果你已经有一些互联网出海经验可以设计一套课专门帮助国内企业在小红书出海 5从外国朋友那里得到一些实用的小帮助最基础的例如小朋友求助写作业大朋友们可以求职求推荐信找房练习口语 6这一波有可能只是这一波但当下的流量为我使用就已经足够了 7如果前6条不能为你所用看看在这个相对闭塞的互联网信息茧房里涌进一群外国朋友们而后产生的各种有趣的事件我们吃瓜刷着笔记的快乐也是真实存在的祝大家新年快乐Happy new year,2025/1/14 19:49,美国,17,20,1,4,外国人涌入小红书这钱如何赚。1做产品想出海的现在是绝好的商机这两天 这个tag在疯狂飙升浏览量就在我和朋友今天一下午讨论的这两个小时浏览量直接增加了2000万 2海外网红入驻小红书需要我方链接如何运营如何操作都是要点如果你很擅长自媒体运营完全可以找中腰部的海外网红代做运营 3教TikTok用户学中文简单有趣的中文变身语言类博主不会的可以中式英语说不准不重要制造幽默也是很让人快乐的 4如果你已经有一些互联网出海经验可以设计一套课专门帮助国内企业在小红书出海 5从外国朋友那里得到一些实用的小帮助最基础的例如小朋友求助写作业大朋友们可以求职求推荐信找房练习口语 6这一波有可能只是这一波但当下的流量为我使用就已经足够了 7如果前6条不能为你所用看看在这个相对闭塞的互联网信息茧房里涌进一群外国朋友们而后产生的各种有趣的事件我们吃瓜刷着笔记的快乐也是真实存在的祝大家新年快乐Happy new year,外国人 涌入 小红书 产品 出海 商机 疯狂 飙升 浏览量 朋友 讨论 小时 浏览量 增加 网红 入驻 小红书 链接 运营 操作 要点 擅长 媒体 运营 腰部 网红代 运营 用户 中文 简单 有趣 中文 语言 博主 中式 英语 不准 制造 幽默 快乐 互联网 出海 经验 设计 企业 红书 出海 外国 朋友 实用 基础 小朋友 求助 作业 朋友 求职 推荐信 口语 波有 流量 足够 闭塞 互联网 信息 涌进 外国 朋友 有趣 事件 笔记 快乐,1.0
678769810000000019011afc,normal,我的天呐一觉醒来小红书全是外国人,我的直播间也涌入了老外小红书直播创业 看来要在线着急学英文了 今天出现了最多的词 这是个什么组织 欢迎评论区留言 你们的看法是商机还是灾难 网络的力量 外国人在中国,2025/1/15 15:53,美国,23,1,6,0,我的天呐一觉醒来小红书全是外国人。我的直播间也涌入了老外小红书直播创业 看来要在线着急学英文了 今天出现了最多的词 这是个什么组织 欢迎评论区留言 你们的看法是商机还是灾难 网络的力量 外国人在中国,天呐 觉醒 红书 全是 外国人 直播间 涌入 老外 小红书 直播 创业 着急 英文 最多 组织 评论 留言 看法 商机 灾难 网络 力量 外国人 中国,2.0
6791c405000000002902594d,normal,,Hi everyone 我是一名来自美国的Tiktok难民很高兴认识大家我非常喜欢中国文化希望能和大家交流中国美食和中国文化,2025/1/23 12:22,美国,10+,2,10+,3,。Hi everyone 我是一名来自美国的Tiktok难民很高兴认识大家我非常喜欢中国文化希望能和大家交流中国美食和中国文化,美国 难民 喜欢 中国 文化 希望 交流 中国 美食 中国 文化,1.0
67874322000000001603279c,normal,洋抖难民集结小红书海外商机你接得住吗,最近许多洋抖用户纷纷涌向小红书 REDNOTE会逐渐成为海外用户分享生活方式和Shopping经验的新领地 形成了多语言多文化的内容生态 海外电商商机盘点 1 跨境电商新契机 小红书上跨境Shopping需求会从美妆服饰到生活用品全球商品的曝光率大幅提升 2 国际化营销必不可少 会更多品牌尝试国际化的内容制作例如翻译成英文或加入热门中国元素 新加坡就自带双语优势KOCKOL 笔记可以进阶next level了 3 出海品牌的爆发 现在都不是出海了 海浪直接卷到家门口来了 INNOVATIVE HUB 可帮助品牌在东南亚出海制定营销策略 4 直bo带货 短视频和直bo成为新的主战场 INNOVATIVE HUB 也可以在新加坡TK 为你的产品直bo有效转化 国际友人的到来 让小红书成为了一个充满活力的新市场 赶快行动抓住这波流量吧 PM我们了解更多新加坡商机,2025/1/15 13:14,美国,4,2,0,3,洋抖难民集结小红书海外商机你接得住吗。最近许多洋抖用户纷纷涌向小红书 REDNOTE会逐渐成为海外用户分享生活方式和Shopping经验的新领地 形成了多语言多文化的内容生态 海外电商商机盘点 1 跨境电商新契机 小红书上跨境Shopping需求会从美妆服饰到生活用品全球商品的曝光率大幅提升 2 国际化营销必不可少 会更多品牌尝试国际化的内容制作例如翻译成英文或加入热门中国元素 新加坡就自带双语优势KOCKOL 笔记可以进阶next level了 3 出海品牌的爆发 现在都不是出海了 海浪直接卷到家门口来了 INNOVATIVE HUB 可帮助品牌在东南亚出海制定营销策略 4 直bo带货 短视频和直bo成为新的主战场 INNOVATIVE HUB 也可以在新加坡TK 为你的产品直bo有效转化 国际友人的到来 让小红书成为了一个充满活力的新市场 赶快行动抓住这波流量吧 PM我们了解更多新加坡商机,难民 集结 小红书 商机 接得 用户 涌向 小红书 用户 分享 生活 方式 经验 领地 语言 文化 内容 生态 电商 商机 盘点 跨境 电商 契机 小红 跨境 需求 美妆 服饰 生活用品 全球 商品 曝光率 提升 国际化 营销 品牌 尝试 国际化 内容 制作 英文 热门 中国 元素 新加坡 自带 双语 优势 笔记 进阶 出海 品牌 爆发 出海 海浪 品牌 东南亚 出海 制定 营销 策略 直带 货短 视频 主战场 新加坡 产品 转化 国际友人 红书 市场 抓住 流量 新加坡 商机,1.0
678f23df0000000018011d64,normal,他们是咋了,汗颜R前几天抱着围观事件如何发展的心态关注了好多海外IP今天发现好几个海外IP被了而且都是点赞很多当时流量很大的 有人知道他们都是因为啥吗,2025/1/21 12:34,美国,2,2,8,0,他们是咋了。汗颜R前几天抱着围观事件如何发展的心态关注了好多海外IP今天发现好几个海外IP被了而且都是点赞很多当时流量很大的 有人知道他们都是因为啥吗,汗颜 围观 事件 发展 心态 关注 发现 流量 很大,2.0
67a748ae000000002903ac8d,video,非常冷门但利润恐怖,暴利行业 小资产创业 行业揭秘 打破信息差 利润空间大 创业笔记 创业风口抢先知 轻创业拄小本创业 商机 信息差,2025/2/8 20:06,广西,395,244,71,38,非常冷门但利润恐怖。暴利行业 小资产创业 行业揭秘 打破信息差 利润空间大 创业笔记 创业风口抢先知 轻创业拄小本创业 商机 信息差,冷门 利润 恐怖 暴利行业 资产 创业 行业 揭秘 打破 信息 利润 空间 创业 笔记 创业 风口 抢先 知轻 创业 小本 创业 商机 信息,1.0
