note_id,type,cleaned_title,cleaned_desc,time,user_id_x,nickname_x,liked_count_x,collected_count,comment_count,share_count,ip_location_x,tag_list,source_keyword,combined_text,processed,label_h
67842492000000000b0333f5,normal,Looking for friends,Ig a_win5,2025/1/12 19:26,65b7abff000000000d01f4a9,adrian,1624,21,942,121,美国,"交友,青少年,朋友們", Looking for chat friends,Looking for friends. Ig a_win5,looking friends ig win,1.0
678477fb000000001703d3d0,normal,Hello Im a TikTok refugee,Please just let us stay Ill be clean quiet you wont even know im here i love makeup and nails Sylus 秦彻 from Love and Deepspace and fat cats I have almost a million followers on Tiktok Please reunite me with my Chinese spy on tiktok I miss him Thank you we love china,2025/1/13 1:00,66e96550000000001d030515,Gina Darling,1万+,10+,1千+,1千+,美国,tiktok,tiktokrefugee,Hello Im a TikTok refugee. Please just let us stay Ill be clean quiet you wont even know im here i love makeup and nails Sylus 秦彻 from Love and Deepspace and fat cats I have almost a million followers on Tiktok Please reunite me with my Chinese spy on tiktok I miss him Thank you we love china,hello im tiktok refugee please let stay ill clean quiet wont know im makeup nails love deepspace fat cats followers tiktok please reunite chinese spy tiktok miss thank china,1.0
67849fed000000001703f8f3,normal,感谢大家让我记住了refugee这个单词,refugee noun a person who has been forced to leave their country or home because there is a war or for political religious or social reasons 避难者逃亡者难民 又是增加词汇量的一天,2025/1/13 0:00,578cadd65e87e7766f0c1584,It's a four,10+,0,1,1,其他,"英语,tiktok",Tiktok refugee,感谢大家让我记住了refugee这个单词. refugee noun a person who has been forced to leave their country or home because there is a war or for political religious or social reasons 避难者逃亡者难民 又是增加词汇量的一天,refugee refugee person forced leave country home war political religious social reasons,1.0
67849d1c000000000100a72d,normal,Hello tiktok refugee here,Just another,2025/1/13 0:00,67843d80000000000801aca4,Parallax,79,3,123,7,美国,"tiktok,tiktok_refugee",Tiktok refugee,Hello tiktok refugee here. Just another,hello tiktok refugee,1.0
67847667000000002002df49,video,TikTok Refugee,From the Midwest Books Dogs Mom life tiktok tiktokrefugee snow dog,2025/1/13 1:00,678474a0000000000803c427,Alyssa Riesenbeck,4639,72,1067,27,美国,"tiktok,tiktokrefugee,snow,dog",Tiktok refugee,TikTok Refugee. From the Midwest Books Dogs Mom life tiktok tiktokrefugee snow dog,tiktok refugee midwest books dogs mom life tiktok tiktokrefugee snow dog,1.0
6784b27a000000002001514f,video,in the clurb we all fam,tiktokban tiktokrefugee rednote,2025/1/13 6:33,5f7be0bc000000000101c622,extra.cilantro,1万+,1千+,1千+,1千+,美国,"tiktokban,tiktokrefugee,rednote",tiktokrefugee,in the clurb we all fam. tiktokban tiktokrefugee rednote,clurb fam tiktokban tiktokrefugee rednote,1.0
6784c7430000000001000652,normal,i am a tiktok refugee,hello xiaohongshu residents me and my boyfriend @sinisera are here to make friends hopefully here is our cat tax please accept us we will be good we are looking for friends who enjoy marvel rivals kingdom hearts anime tokyo ghoul cyberpunk edgerunners solo leveling etc fashion makeup silly animals PLEEK,2025/1/13 0:00,6784bbd9000000000801b544,nana,33,0,58,2,美国,tiktok,Tiktok refugee,i am a tiktok refugee. hello xiaohongshu residents me and my boyfriend @sinisera are here to make friends hopefully here is our cat tax please accept us we will be good we are looking for friends who enjoy marvel rivals kingdom hearts anime tokyo ghoul cyberpunk edgerunners solo leveling etc fashion makeup silly animals PLEEK,tiktok refugee hello xiaohongshu residents boyfriend sinisera make friends cat tax please accept good looking friends enjoy marvel rivals kingdom hearts anime tokyo ghoul cyberpunk edgerunners solo leveling etc fashion makeup silly animals pleek,1.0
6784a97f0000000001000bf8,video,refugee,tiktok refugee usa,2025/1/13 6:33,6784a05b000000000801f492,小红薯tararule,6250,144,1110,78,其他,"tiktok,refugee,usa",Tiktok refugee,refugee. tiktok refugee usa,refugee tiktok refugee usa,2.0
6784d05300000000010016c6,normal,Introduce myto my Chinese friends,Introduce my babies to my new Chinese friends on red note,2025/1/13 9:20,65f09f64000000000500d8f1,Fatih,1千+,10+,1千+,10+,德国,"tiktokrefugee,cats",tiktokrefugee,Introduce myto my Chinese friends. Introduce my babies to my new Chinese friends on red note,introduce myto chinese friends introduce babies new chinese friends red note,1.0
6784e3e8000000001703bbe3,video,Looking for friends,tiktokrefugee2025,2025/1/13 9:20,6784b93c000000000801f849,ReLoop,3.7万,749,3779,172,美国,tiktokrefugee2025, Looking for chat friends,Looking for friends. tiktokrefugee2025,looking friends tiktokrefugee,1.0
67850a95000000000900cfc4,normal,YmerJadea tiktok refugee from newyork,But Henan provinceI am a cheerful boy who likes to laugh I like Chinese education culture and lifestyle very much and I hate happy education in the United States Tiktok is banned in the United States so I come here to make friends with everyone,2025/1/13 0:00,62905555000000002102718e,耶梦加德.,10+,10+,10+,10+,中国,,Tiktok refugee,YmerJadea tiktok refugee from newyork. But Henan provinceI am a cheerful boy who likes to laugh I like Chinese education culture and lifestyle very much and I hate happy education in the United States Tiktok is banned in the United States so I come here to make friends with everyone,ymerjadea tiktok refugee newyork henan provincei cheerful boy likes chinese education culture lifestyle much hate happy education united states tiktok banned united states come make friends everyone,1.0
67850ebf000000001a0362bc,normal,Tiktok refugee,heyyyy rednote im here to give yall all my data personal info,2025/1/13 0:00,67850a61000000000803c92c,heyimjaz,10+,10+,10+,10+,其他,"refugee,tiktok,american",Tiktok refugee,Tiktok refugee. heyyyy rednote im here to give yall all my data personal info,tiktok refugee heyyyy rednote im give yall data personal info,1.0
67851608000000000800d116,video,TikTok Refugee,Hi Im an Alabama tiktok refugee Is it okay that we are here alabama tiktok,2025/1/13 0:00,67845c70000000000803e0ba,Runinhighheels,119,8,50,1,美国,"alabama,tiktok",Tiktok refugee,TikTok Refugee. Hi Im an Alabama tiktok refugee Is it okay that we are here alabama tiktok,tiktok refugee hi im alabama tiktok refugee okay alabama tiktok,1.0
6784ea8d0000000018012de4,normal,HiTiktok refugees,This is the English I of 2025 postgraduate entrance exanmination I really wanna know how U native speakers think about the degree of difficulty of it笑哭R Its hard for us Im hoping I can reach the minimum passing score哭惹R哭惹R哭惹R,2025/1/13 9:20,563f166f484fb63b5cebf1c0,momo,2414,609,1448,1384,美国,"tiktok,tiktokrefugee",Tiktok refugee,HiTiktok refugees. This is the English I of 2025 postgraduate entrance exanmination I really wanna know how U native speakers think about the degree of difficulty of it笑哭R Its hard for us Im hoping I can reach the minimum passing score哭惹R哭惹R哭惹R,hitiktok refugees english postgraduate entrance exanmination wan na know native speakers think degree difficulty hard im hoping reach minimum passing score,1.0
6785137700000000180132ff,video,Tiktok Refugees lets get this straight,Tiktok tiktokrefugee tiktokban,2025/1/13 12:06,584c771c82ec39685f072584,Nick,1万+,1千+,1万+,1千+,北京,"Tiktok,tiktokrefugee,tiktokban",tiktokrefugee,Tiktok Refugees lets get this straight. Tiktok tiktokrefugee tiktokban,tiktok refugees lets get straight tiktok tiktokrefugee tiktokban,3.0
6784f443000000000203ef6c,video,TikTok refugee Kiss kiss,Im a good human so we kiss kiss 帅哥 氛围 kisstiktokrefugee Tiktokrefugee tiktokrefugee2025,2025/1/13 12:06,66d23e12000000001d021148,Matt,1.3万,416,2707,755,其他,"帅哥,氛围,kiss,tiktokrefugee,Tiktokrefugee,tiktokrefugee2025",Tiktok refugee,TikTok refugee Kiss kiss. Im a good human so we kiss kiss 帅哥 氛围 kisstiktokrefugee Tiktokrefugee tiktokrefugee2025,tiktok refugee kiss kiss good human kiss kiss kisstiktokrefugee tiktokrefugee tiktokrefugee,1.0
67851bdc000000001903655f,video,TikTok Refugee,Hi I am from America We dont like it here and hopefully you can welcome us 每日穿搭 america tiktok tiktokrefugee,2025/1/13 0:00,6784ab67000000000803cb26,AshNicole8705,10+,2,6,0,美国,"每日穿搭,america,tiktok,tiktokrefugee",Tiktok refugee,TikTok Refugee. Hi I am from America We dont like it here and hopefully you can welcome us 每日穿搭 america tiktok tiktokrefugee,tiktok refugee hi america dont welcome america tiktok tiktokrefugee,1.0
67852ed8000000002002e5de,normal,TikTok Refugee,This is so funny that so many Americans are coming here in retaliation to the ban 捂脸R the emojis are adorable 这么多美国人来报复禁令真是太有趣了而且表情符号太可爱了,2025/1/13 0:00,67848736000000000803f6b6,Ragelling,10+,2,10+,2,美国,Tiktokrefugee,Tiktok refugee,TikTok Refugee. This is so funny that so many Americans are coming here in retaliation to the ban 捂脸R the emojis are adorable 这么多美国人来报复禁令真是太有趣了而且表情符号太可爱了,tiktok refugee funny many americans coming retaliation ban emojis adorable,1.0
67852ef8000000000b00c028,video,TIKTOK REFUGEES,tiktok viral brainrot,2025/1/13 0:00,6785279a0000000008018cac,Major,728,100,34,54,美国,"tiktok,viral,brainrot",Tiktok refugee,TIKTOK REFUGEES. tiktok viral brainrot,tiktok refugees tiktok viral brainrot,3.0
